referenceTime,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,sum(precipitation_amount PT1H),relative_humidity,surface_temperature,dew_point_temperature,snow_change_1h,snow_change_3h,snow_change_6h,fresh_snow_1h,snow_transport_1h,fresh_snow_6h,snow_loss_6h,snow_dynamics_factor,consec_wind_ge5,consec_wind_ge6,consec_wind_ge7,wind_persistent_3h,high_risk_sector,wind_sector,temp_above_zero_last_24h,continuous_frost_12h,loose_snow_gate,precip_mm_h,last_6h_precip,risk_level,factors,risk_slippery,factors_slippery
2024-01-01 05:20:00+00:00,-4.0,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,4,4,4,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 05:30:00+00:00,-4.2,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,4,4,4,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 05:40:00+00:00,-4.2,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,4,4,4,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 05:50:00+00:00,-4.3,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,4,4,4,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 06:00:00+00:00,-4.4,12.3,179.0,38,0.0,70.0,-5.6,-8.9,0.0,0.0,0.0,0,0,0,0,1.0,5,5,5,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 12.3 m/s (terskel: 7.0)', 'Temperatur -4.4°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (5h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 06:10:00+00:00,-4.5,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,5,5,5,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 06:20:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,5,5,5,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 06:30:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,5,5,5,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 06:40:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,5,5,5,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 06:50:00+00:00,-4.5,,,38,,,-5.7,,0.0,0.0,0.0,0,0,0,0,1.0,5,5,5,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 07:00:00+00:00,-4.4,13.8,185.0,38,0.0,70.0,-5.7,-8.9,0.0,0.0,0.0,0,0,0,0,1.0,6,6,6,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 13.8 m/s (terskel: 7.0)', 'Temperatur -4.4°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (6h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 07:10:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,6,6,6,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 07:20:00+00:00,-4.2,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,6,6,6,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 07:30:00+00:00,-4.2,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,6,6,6,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 07:40:00+00:00,-4.2,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,6,6,6,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 07:50:00+00:00,-4.2,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,6,6,6,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 08:00:00+00:00,-4.3,12.7,188.0,38,0.0,68.0,-5.5,-9.4,0.0,0.0,0.0,0,0,0,0,1.0,7,7,7,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 12.7 m/s (terskel: 7.0)', 'Temperatur -4.3°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (7h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 08:10:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,7,7,7,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 08:20:00+00:00,-4.5,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,7,7,7,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 08:30:00+00:00,-4.6,,,38,,,-5.7,,0.0,0.0,0.0,0,0,0,0,1.0,7,7,7,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 08:40:00+00:00,-4.5,,,38,,,-5.7,,0.0,0.0,0.0,0,0,0,0,1.0,7,7,7,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 08:50:00+00:00,-4.5,,,38,,,-5.7,,0.0,0.0,0.0,0,0,0,0,1.0,7,7,7,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 09:00:00+00:00,-4.5,10.9,184.0,38,0.0,69.0,-5.6,-9.4,0.0,0.0,0.0,0,0,0,0,1.0,8,8,8,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 10.9 m/s (terskel: 7.0)', 'Temperatur -4.5°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (8h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 09:10:00+00:00,-4.5,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,8,8,8,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 09:20:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,8,8,8,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 09:30:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,8,8,8,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 09:40:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,8,8,8,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 09:50:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,8,8,8,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 10:00:00+00:00,-4.5,11.1,181.0,38,0.0,67.0,-5.6,-9.8,0.0,0.0,0.0,0,0,0,0,1.0,9,9,9,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 11.1 m/s (terskel: 7.0)', 'Temperatur -4.5°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (9h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 10:10:00+00:00,-4.4,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,9,9,9,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 10:20:00+00:00,-4.4,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,9,9,9,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 10:30:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,9,9,9,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 10:40:00+00:00,-4.4,,,38,,,-5.6,,0.0,0.0,0.0,0,0,0,0,1.0,9,9,9,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 10:50:00+00:00,-4.4,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,9,9,9,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 11:00:00+00:00,-4.3,10.9,199.0,38,0.0,67.0,-5.4,-9.8,0.0,0.0,0.0,0,0,0,0,1.0,10,10,10,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 10.9 m/s (terskel: 7.0)', 'Temperatur -4.3°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (10h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 11:10:00+00:00,-4.2,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,10,10,10,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 11:20:00+00:00,-4.2,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,10,10,10,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 11:30:00+00:00,-4.3,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,10,10,10,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 11:40:00+00:00,-4.2,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,10,10,10,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 11:50:00+00:00,-4.2,,,38,,,-5.5,,0.0,0.0,0.0,0,0,0,0,1.0,10,10,10,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 12:00:00+00:00,-4.1,6.6,163.0,38,0.0,65.0,-5.5,-9.8,0.0,0.0,0.0,0,0,0,0,1.0,11,11,0,1,0,S,0.0,1.0,1,0.0,0.0,low,"['Grunnkriterier ikke oppfylt (vind: 6.6, temp: -4.1, snø: 38)']",low,['Ingen risikofaktorer']
