dato,datetime,air_temp_avg,air_temp_min,surface_temp_avg,surface_temp_min,temp_diff,wind_avg,wind_max,gust_max,precip_total,precip_duration,snow_depth,snow_change,humidity_avg,dew_point_avg,scenario
13. jan. 2023,2023-01-13 09:51:00,0.5666666666666668,0.2,-0.8666666666666666,-2.4,1.4333333333333333,3.2833333333333337,6.1,9.0,1.6,249.0,28.033333333333335,3.299999999999997,91.5,-1.0666666666666667,FRYSEFARE
15. jan. 2023,2023-01-15 06:33:00,-0.2333333333333333,-0.4,-1.5666666666666667,-1.7,1.3333333333333333,2.8666666666666667,4.8,8.7,0.9,146.0,24.166666666666668,1.0,81.66666666666667,-3.116666666666667,ANNET
17. jan. 2023,2023-01-17 06:57:00,-1.4666666666666668,-1.8,-2.8333333333333335,-3.2,1.3666666666666667,3.0499999999999994,4.6,7.3,0.4,168.0,35.73333333333333,-0.5,85.33333333333333,-3.8666666666666667,ANNET
19. jan. 2023,2023-01-19 16:59:00,-3.6666666666666665,-4.5,-10.516666666666666,-12.3,6.85,1.7333333333333334,2.3,4.6,0.0,0.0,29.049999999999997,0.1999999999999993,74.0,-8.05,ANNET
25. jan. 2023,2023-01-25 08:14:00,3.0,2.7,0.6666666666666666,0.6,2.3333333333333335,1.6666666666666667,2.9,6.3,3.8000000000000003,360.0,22.76666666666667,-1.0,98.0,2.65,ANNET
26. jan. 2023,2023-01-26 04:27:00,0.6666666666666666,-0.2,-1.3166666666666667,-3.9,1.9833333333333334,2.983333333333334,5.4,8.9,0.0,71.0,18.8,-0.40000000000000213,94.33333333333333,-0.3833333333333333,FRYSEFARE
28. jan. 2023,2023-01-28 11:45:00,0.6333333333333333,0.4,0.06666666666666667,0.0,0.5666666666666667,4.8,5.3,9.9,0.1,360.0,21.416666666666668,-0.09999999999999787,95.0,-0.26666666666666666,ANNET
28. jan. 2023,2023-01-28 06:40:00,0.65,0.0,4.625929269271485e-18,-0.3,0.65,2.5666666666666664,3.8,9.7,4.2,352.0,21.650000000000002,-0.20000000000000284,96.16666666666667,-0.049999999999999996,ANNET
31. jan. 2023,2023-01-31 05:32:00,-3.4500000000000006,-3.6,-4.416666666666667,-6.4,0.9666666666666663,1.0333333333333334,1.4,5.1,0.6,70.0,26.03333333333333,0.7000000000000028,91.66666666666667,-4.716666666666668,ANNET
1. feb. 2023,2023-02-01 09:09:00,-0.45,-0.9,-0.8833333333333334,-1.2,0.4333333333333334,1.4166666666666667,1.6,10.8,8.399999999999999,229.0,41.333333333333336,4.5,95.66666666666667,-1.2166666666666666,NYSNØ
2. feb. 2023,2023-02-02 16:45:00,-2.9166666666666665,-3.5,-7.533333333333335,-9.2,4.616666666666669,1.5999999999999999,2.3,3.6,0.0,0.0,45.050000000000004,-0.30000000000000426,69.5,-7.933333333333333,ANNET
3. feb. 2023,2023-02-03 08:27:00,-0.8166666666666668,-1.1,-1.05,-1.5,0.23333333333333328,2.3166666666666664,4.2,10.6,0.0,360.0,62.35,8.299999999999997,98.0,-1.2166666666666668,ANNET
3. feb. 2023,2023-02-03 14:31:00,-0.43333333333333335,-0.9,-1.5333333333333332,-6.4,1.0999999999999999,0.8833333333333333,1.4,4.3,0.0,281.0,64.35000000000001,-0.7999999999999972,96.66666666666667,-1.4000000000000001,ANNET
5. feb. 2023,2023-02-05 07:42:00,-0.5166666666666666,-0.9,-2.1166666666666667,-5.2,1.6,4.683333333333334,7.2,12.6,1.4000000000000001,290.0,68.60000000000001,-4.900000000000006,92.83333333333333,-1.8166666666666667,ANNET
9. feb. 2023,2023-02-09 08:26:00,0.16666666666666666,0.1,-0.7000000000000001,-1.1,0.8666666666666667,3.1833333333333336,4.3,11.8,1.4,150.0,50.43333333333334,-1.1000000000000014,87.0,-1.8666666666666665,FRYSEFARE
9. feb. 2023,2023-02-09 16:29:00,-0.06666666666666667,-0.5,-0.8333333333333334,-2.0,0.7666666666666667,5.8,10.0,20.1,7.1,314.0,55.54999999999999,2.0,91.66666666666667,-1.7333333333333334,NYSNØ
10. feb. 2023,2023-02-10 06:34:00,-3.8333333333333335,-4.4,-6.766666666666666,-8.6,2.9333333333333322,2.1999999999999997,4.9,7.9,0.5,13.0,56.11666666666667,-0.8000000000000043,86.16666666666667,-6.166666666666667,ANNET
10. feb. 2023,2023-02-10 12:56:00,-2.733333333333333,-4.0,-3.7499999999999996,-8.2,1.0166666666666666,2.1333333333333333,2.9,5.6,3.4000000000000004,243.0,56.51666666666666,2.8000000000000043,91.5,-4.016666666666667,NYSNØ
13. feb. 2023,2023-02-13 10:01:00,2.3000000000000003,1.9,0.43333333333333335,0.3,1.866666666666667,1.3499999999999999,2.6,5.2,0.0,0.0,42.0,-0.8999999999999986,96.16666666666667,1.5666666666666667,ANNET
18. feb. 2023,2023-02-18 06:57:00,-1.6499999999999997,-2.3,-2.3,-3.4,0.6500000000000001,5.2,6.8,11.2,3.3000000000000003,317.0,42.18333333333333,-1.5,92.5,-2.8333333333333335,NYSNØ
20. feb. 2023,2023-02-20 06:01:00,4.016666666666667,3.4,0.6333333333333333,0.2,3.3833333333333333,6.599999999999999,9.4,18.6,36.300000000000004,360.0,50.06666666666666,-7.0,91.0,2.3000000000000003,SLAPS
23. feb. 2023,2023-02-23 23:15:00,-2.0,-3.6,-2.0833333333333335,-3.6,0.08333333333333348,1.3,1.6,4.8,11.899999999999999,360.0,58.9,10.299999999999997,96.0,-2.6666666666666665,NYSNØ
24. feb. 2023,2023-02-24 02:53:00,-0.7333333333333334,-1.4,-1.1166666666666665,-1.6,0.3833333333333331,1.54,2.8,5.0,8.3,270.0,63.53333333333333,3.6000000000000014,97.33333333333333,-1.1666666666666667,NYSNØ
24. feb. 2023,2023-02-24 10:40:00,-1.0,-1.4,-2.6166666666666667,-3.6,1.6166666666666667,3.9499999999999997,5.4,8.3,0.0,0.0,63.95000000000001,-0.20000000000000284,93.0,-2.2166666666666663,ANNET
25. feb. 2023,2023-02-25 10:19:00,-3.8333333333333335,-5.1,-11.766666666666666,-14.2,7.933333333333332,1.6499999999999997,3.2,6.3,0.0,0.0,63.18333333333334,-0.8999999999999986,57.333333333333336,-11.549999999999999,ANNET
9. mars 2023,2023-03-09 07:08:00,-9.616666666666667,-10.8,-18.616666666666667,-21.2,9.0,1.0666666666666667,2.0,2.9,0.0,0.0,69.06666666666665,-0.29999999999999716,78.5,-13.666666666666666,ANNET
9. mars 2023,2023-03-09 15:19:00,-6.116666666666667,-7.3,-9.866666666666665,-16.9,3.7499999999999982,1.0999999999999999,1.5,3.8,0.5,124.0,68.36666666666666,0.5,68.66666666666667,-11.916666666666666,ANNET
10. mars 2023,2023-03-10 09:21:00,-10.533333333333333,-11.7,-18.25,-20.9,7.716666666666667,1.4500000000000002,2.7,4.9,0.0,0.0,67.28333333333333,-0.7000000000000028,45.0,-20.400000000000002,ANNET
13. mars 2023,2023-03-13 19:49:00,-0.6333333333333333,-1.9,-1.5499999999999998,-3.4,0.9166666666666665,2.566666666666667,6.1,12.3,8.700000000000001,335.0,64.13333333333333,5.999999999999993,94.5,-2.016666666666667,NYSNØ
13. mars 2023,2023-03-13 17:34:00,-0.18333333333333335,-1.6,-0.9833333333333333,-1.8,0.7999999999999999,5.1,9.7,16.0,9.8,360.0,61.63333333333333,6.699999999999996,92.33333333333333,-1.8500000000000003,NYSNØ
