dato,klokkeslett,vindstyrke,temperatur,snødybde,risikoscore
2024-02-10,13:00,11.9,-7.2,62.6,0.74
2024-02-11,15:00,11.2,-2.2,62.0,0.74
2024-02-11,16:00,9.9,-2.3,61.9,0.74
2024-02-11,17:00,10.2,-1.4,61.7,0.74
2024-03-09,22:00,11.8,-3.0,44.3,0.74
2024-03-09,23:00,10.2,-3.3,44.1,0.74
2024-03-10,00:00,10.8,-3.3,44.1,0.74
2024-04-03,23:00,11.5,-2.3,29.9,0.74
2024-04-04,00:00,12.5,-2.8,30.1,0.74
2024-04-04,01:00,11.9,-3.4,29.6,0.74
